movieId,success,total,alpha,beta
1,37709,57309,37710,19601
2,8276,24228,8277,15953
3,3674,11804,3675,8131
4,637,2523,638,1887
5,3161,11714,3162,8554
6,15598,24588,15599,8991
7,4885,12132,4886,7248
8,394,1344,395,951
9,934,3711,935,2778
10,11681,28265,11682,16585
11,9443,17042,9444,7600
12,675,3741,676,3067
13,653,1715,654,1063
14,2463,5509,2464,3047
15,554,2760,555,2207
16,11561,18404,11562,6844
17,13708,19729,13709,6022
18,2276,5374,2277,3099
19,4081,21552,4082,17472
20,728,3840,729,3113
21,11572,22277,11573,10706
22,3550,9237,3551,5688
23,1248,4108,1249,2861
24,2654,7450,2655,4797
25,11711,20070,11712,8360
26,1377,2549,1378,1173
27,636,1577,637,942
28,2165,2950,2166,786
29,5719,8305,5720,2587
30,660,1166,661,507
31,2999,9106,3000,6108
32,31550,47054,31551,15505
33,20,65,21,46
34,17009,31456,17010,14448
35,680,1352,681,673
36,13053,19388,13054,6336
37,25,75,26,51
38,180,631,181,452
39,11649,26230,11650,14582
40,440,797,441,358
41,2824,4266,2825,1443
42,636,2300,637,1665
43,1074,2308,1075,1235
44,1971,10629,1972,8659
45,3632,8267,3633,4636
46,1083,2889,1084,1807
47,38051,50596,38052,12546
48,3513,13461,3514,9949
49,117,228,118,112
50,45648,55366,45649,9719
51,5,28,6,24
52,4339,8543,4340,4205
53,74,137,75,64
54,215,919,216,705
55,321,851,322,531
56,8,65,9,58
57,898,2236,899,1339
58,7358,10483,7359,3126
59,100,181,101,82
60,1836,5960,1837,4125
61,818,2088,819,1271
62,10344,18242,10345,7899
63,779,2336,780,1558
64,341,1884,342,1544
65,681,4663,682,3983
66,229,2215,230,1987
67,68,163,69,96
68,508,1124,509,617
69,2157,4278,2158,2122
70,5751,14118,5752,8368
71,153,1202,154,1050
72,563,1179,564,617
73,1733,2699,1734,967
74,1193,3235,1194,2043
75,75,526,76,452
76,845,3235,846,2391
77,100,211,101,112
78,348,1129,349,782
79,1516,5061,1517,3546
80,325,515,326,191
81,1153,3007,1154,1855
82,1635,2288,1636,654
83,304,537,305,234
84,66,141,67,76
85,1274,2441,1275,1168
86,1802,3921,1803,2120
87,125,938,126,814
88,1443,4730,1444,3288
89,901,3095,902,2195
90,80,201,81,122
92,452,2114,453,1663
93,258,1936,259,1679
94,1822,3760,1823,1939
95,5724,20642,5725,14919
96,257,444,258,188
97,1878,2615,1879,738
98,14,83,15,70
99,265,668,266,404
100,1180,3770,1181,2591
101,2613,4438,2614,1826
102,211,1841,212,1631
103,347,1046,348,700
104,8307,19190,8308,10884
105,3918,9006,3919,5089
106,69,125,70,57
107,2125,6015,2126,3891
108,38,115,39,78
109,3,16,4,14
110,41246,59184,41247,17939
111,21587,29133,21588,7547
112,4657,10958,4658,6302
113,273,990,274,718
114,124,230,125,107
115,26,43,27,18
116,615,875,616,261
117,614,1142,615,529
118,290,1030,291,741
119,50,246,51,197
120,27,142,28,116
121,474,764,475,291
122,702,3588,703,2887
123,1817,2607,1818,791
124,156,298,157,143
125,1968,3231,1969,1264
126,192,1329,193,1138
127,15,41,16,27
128,34,71,35,38
129,52,172,53,121
130,15,42,16,28
131,67,169,68,103
132,369,1925,370,1557
133,3,20,4,18
134,18,31,19,14
135,1615,5932,1616,4318
136,61,90,62,30
137,78,206,79,129
138,41,123,42,83
139,10,36,11,27
140,1708,4553,1709,2846
141,9965,20757,9966,10793
142,15,37,16,23
143,2,14,3,13
144,1983,4097,1984,2115
145,4607,12796,4608,8190
146,142,551,143,410
147,2128,4222,2129,2095
148,79,335,80,257
149,601,1007,602,407
150,31114,48377,31115,17264
151,5760,11595,5761,5836
152,204,638,205,435
153,6350,31101,6351,24752
154,1794,2889,1795,1096
155,520,1168,521,649
156,732,1521,733,790
157,509,2432,510,1924
158,2909,12589,2910,9681
159,943,2209,944,1267
160,2074,13853,2075,11780
161,13150,22340,13151,9191
162,4079,5633,4080,1555
163,6164,14216,6165,8053
164,1874,4011,1875,2138
165,15392,33731,15393,18340
166,206,683,207,478
167,24,72,25,49
168,3618,11309,3619,7692
169,393,3172,394,2780
170,2659,7721,2660,5063
171,711,1297,712,587
172,2247,12156,2248,9910
173,2092,14758,2093,12667
174,290,1932,291,1643
175,2392,4744,2393,2353
176,1467,2203,1468,737
177,505,2149,506,1645
178,210,453,211,244
179,211,1119,212,909
180,4244,8366,4245,4123
181,207,2539,208,2333
182,173,636,174,464
183,262,581,263,320
184,103,313,104,211
185,6503,23018,6504,16516
186,2225,10419,2226,8195
187,416,875,417,460
188,980,2390,981,1411
189,62,304,63,243
190,518,953,519,436
191,308,1555,309,1248
192,24,79,25,56
193,926,7142,927,6217
194,3592,5459,3593,1868
195,778,2938,779,2161
196,2558,12993,2559,10436
197,31,99,32,69
198,3799,8646,3800,4848
199,942,1507,943,566
200,56,315,57,260
201,105,343,106,239
202,142,414,143,273
203,1732,5060,1733,3329
204,2108,7882,2109,5775
205,587,1213,588,627
206,464,936,465,473
207,2181,5018,2182,2838
208,6015,27377,6016,21363
209,132,681,133,550
210,95,447,96,353
211,280,526,281,247
212,69,426,70,358
213,1289,1753,1290,465
214,659,890,660,232
215,4415,6582,4416,2168
216,3407,9048,3408,5642
217,180,940,181,761
218,1442,3864,1443,2423
219,301,589,302,289
220,37,290,38,254
222,2705,5374,2706,2670
223,15512,24050,15513,8539
224,3497,7809,3498,4313
225,4183,11592,4184,7410
226,7,37,8,31
227,1081,4189,1082,3109
228,88,436,89,349
229,1154,2256,1155,1103
230,3531,6729,3532,3199
231,9482,31843,9483,22362
232,4190,5620,4191,1431
233,1665,3204,1666,1540
234,530,2952,531,2423
235,8855,15582,8856,6728
236,4193,11357,4194,7165
237,1951,5770,1952,3820
238,263,766,264,504
239,1000,3368,1001,2369
240,168,779,169,612
241,151,536,152,386
242,465,1000,466,536
243,74,424,75,351
244,47,277,48,231
245,51,239,52,189
246,7087,9739,7088,2653
247,4584,7144,4585,2561
248,695,2866,696,2172
249,2552,4542,2553,1991
250,269,918,270,650
251,98,341,99,244
252,2946,9280,2947,6335
253,12913,27577,12914,14665
254,127,574,128,448
255,111,975,112,865
256,1635,9442,1636,7808
257,1469,3542,1470,2074
258,282,1596,283,1315
259,454,1845,455,1392
260,52099,68717,52100,16619
261,5226,9656,5227,4431
262,2412,4008,2413,1597
263,235,368,236,134
264,64,163,65,100
265,7389,10781,7390,3393
266,7561,15759,7562,8199
267,909,3757,910,2849
268,260,681,261,422
269,255,550,256,296
270,379,1185,380,807
271,439,1138,440,700
272,4292,7136,4293,2845
273,2002,6796,2003,4795
274,247,1135,248,889
275,255,1445,256,1191
276,1184,4968,1185,3785
277,3778,8574,3779,4797
278,234,1038,235,805
279,500,846,501,347
280,2718,4680,2719,1963
281,2018,3588,2019,1571
282,4519,10402,4520,5884
283,63,222,64,160
284,9,34,10,26
285,13,80,14,68
286,12,98,13,87
287,111,305,112,195
288,9589,23259,9590,13671
289,1126,2963,1127,1838
290,2634,3749,2635,1116
292,9988,24760,9989,14773
293,25300,33680,25301,8381
294,270,777,271,508
295,80,420,81,341
296,62416,79672,62417,17257
297,96,249,97,154
298,115,227,116,113
299,1453,2389,1454,937
300,10599,18997,10600,8399
301,208,418,209,211
302,854,1453,855,600
303,1728,6532,1729,4805
304,209,652,210,444
305,576,3105,577,2530
306,5307,7058,5308,1752
307,4691,6616,4692,1926
308,3443,5085,3444,1643
309,238,417,239,180
310,54,231,55,178
311,16,76,17,61
312,241,1200,242,960
313,340,1282,341,943
314,2486,3775,2487,1290
315,2292,10295,2293,8004
316,12288,30910,12289,18623
317,4895,15733,4896,10839
318,70514,81482,70515,10969
319,4106,6727,4107,2622
320,130,299,131,170
321,507,834,508,328
322,1588,2800,1589,1213
324,257,431,258,175
325,195,951,196,757
326,995,1293,996,299
327,1757,6691,1758,4935
328,797,2311,798,1515
329,9468,24615,9469,15148
330,317,1415,318,1099
331,176,495,177,320
332,388,2038,389,1651
333,4569,10852,4570,6284
334,965,1495,966,531
335,156,384,157,229
336,55,267,56,213
337,10334,17234,10335,6901
338,1082,4341,1083,3260
339,10149,22111,10150,11963
340,550,1330,551,781
341,195,352,196,158
342,5389,10735,5390,5347
343,169,854,170,686
344,10555,37453,10556,26899
345,5344,9531,5345,4188
346,472,1033,473,562
347,725,1548,726,824
348,4337,7399,4338,3063
349,14965,27766,14966,12802
350,6435,14696,6436,8262
351,1264,3322,1265,2059
352,486,1228,487,743
353,7775,16219,7776,8445
354,327,1146,328,820
355,846,9580,847,8735
356,58875,81491,58876,22617
357,14660,26709,14661,12050
358,778,2075,779,1298
359,99,256,100,158
360,316,1915,317,1600
361,1795,4809,1796,3015
362,2875,6993,2876,4119
363,441,590,442,150
364,26171,42745,26172,16575
365,540,1708,541,1169
366,730,2660,731,1931
367,11191,34621,11192,23431
368,6915,16475,6916,9561
369,401,1010,402,610
370,3604,13958,3605,10355
371,1278,3915,1279,2638
372,2499,7415,2500,4917
373,2055,3265,2056,1211
374,513,4953,514,4441
375,83,230,84,148
376,3513,10374,3514,6862
377,19043,41302,19044,22260
378,593,2125,594,1533
379,966,5362,967,4397
380,19283,41673,19284,22391
381,1887,4476,1888,2590
382,1251,5077,1252,3827
383,1507,4717,1508,3211
384,170,694,171,525
385,59,116,60,58
386,77,333,78,257
387,117,648,118,532
388,275,509,276,235
389,102,187,103,86
390,389,841,390,453
391,124,397,125,274
392,121,253,122,133
393,121,2222,122,2102
394,54,132,55,79
395,4,12,5,9
396,2,32,3,31
397,11,88,12,78
398,26,52,27,27
399,1,10,2,10
400,5,28,6,24
401,6,17,7,12
402,13,52,14,40
403,2,15,3,14
404,33,70,34,38
405,513,3357,514,2845
406,22,66,23,45
407,799,1993,800,1195
408,244,611,245,368
409,103,420,104,318
410,4246,17836,4247,13591
411,33,105,34,73
412,2122,4231,2123,2110
413,1023,5737,1024,4715
414,108,829,109,722
415,469,2938,470,2470
416,263,1634,264,1372
417,1530,3007,1531,1478
418,128,637,129,510
419,487,4219,488,3733
420,2334,13942,2335,11609
421,651,1631,652,981
422,393,1300,394,908
423,535,2184,536,1650
424,107,706,108,600
425,397,791,398,395
426,907,3021,908,2115
427,558,3078,559,2521
428,3011,4785,3012,1775
429,207,1403,208,1197
430,17,237,18,221
431,5135,8879,5136,3745
432,1708,11729,1709,10022
433,239,1150,240,912
434,5867,23089,5868,17223
